Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,SMA_50,EMA_20,WMA_30,RSI,Upper_BB,Lower_BB,MACD,Signal_Line
0.32524719446397005,0.32815154334573815,0.31653521129317397,0.002980943018274833,0.047605486867889416,0.0,0.0,,,0.002980943018274833,,,,,0.0,0.0
0.3194396225253203,0.3310554251078811,0.3194396225253203,0.0031179907400554823,0.05433014252886527,0.0,0.0,0.0459746197563895,,0.003052893072209674,,,,,3.0747886296937123e-06,1.7082159053853958e-06
0.32524744094414354,0.3339594307170908,0.32524744094414354,0.0032550539336275407,0.020165508296561545,0.0,0.0,0.043958819957758966,,0.0031271253285671085,,,,,8.168212450551746e-06,4.355755473076523e-06
0.33105544096384293,0.3397674262523651,0.3281516231134633,0.0034606318456677273,0.021535815487854736,0.0,0.0,0.0631565301933672,,0.003223403503594192,,,,,1.7706931518426342e-05,8.878511585999902e-06
0.33976744712883084,0.345575614923847,0.32234347548119846,0.003186527259684233,0.05901625477563334,0.0,0.0,-0.07920651436142745,,0.0032144834540023975,,,,,1.1610100996096908e-05,9.691097678960697e-06
0.3281515867821383,0.3397673886349958,0.3223434199870473,0.0033235721684118976,0.029317806944581505,0.0,0.0,0.043007605948189864,,0.0032374961898536505,,,,,1.3586968262558567e-05,1.0747095213329968e-05
0.33395906694595395,0.35138302751247463,0.33395906694595395,0.0036662090544446677,0.05533672620642014,0.0,0.0,0.10309295801947105,,0.0033185551811283067,,,,,3.0142750025007742e-05,1.565561801717936e-05
0.3484793389220497,0.35428750514984136,0.3455755216767901,0.0038032708414902344,0.0583903119845488,0.0,0.0,0.03738515316779378,,0.003402340718616275,,,,,4.727788693625629e-05,2.3255043895332373e-05
0.3542875087683411,0.36299949233037176,0.3455755252063104,0.003940317156744392,0.07385279066161024,0.0,0.0,0.03603380378780985,,0.003488634769868555,,,,,6.522366037670308e-05,3.2950002509909016e-05
0.360095090652085,0.3688070729399354,0.360095090652085,0.004008851566583404,0.10768753612563968,0.0,0.0,0.017393120176051324,,0.003566974911861535,,,,,8.053514284363239e-05,4.3611836258268524e-05
0.36299949233037176,0.3717114758924025,0.35719132604325865,0.003940317156744392,0.07847123341745026,0.0,0.0,-0.01709577137010876,,0.0036202481714713393,,,,,8.681881396910719e-05,5.306527609949137e-05
0.3600951396403605,0.3629994886228926,0.3455755216767901,0.0038032708414902344,0.04673424217219066,0.0,0.0,-0.03478052902913775,,0.0036451810120802343,,,,,8.27164482168209e-05,5.9433104348149796e-05
0.3542875087683411,0.36299949233037176,0.35138315975614554,0.003940317156744392,0.05076903556877617,0.0,0.0,0.03603380378780985,,0.003683803717468214,,,,,8.631825057160746e-05,6.512293536076381e-05
0.3600952696044265,0.36880725622177124,0.3571914513111331,0.004145902101417036,0.05888091579377722,0.0,0.0,0.05217472007824475,,0.0037421955121163045,,,,,9.980806992506645e-05,7.237909139074101e-05
0.36880717296565696,0.3775191576163209,0.36880717296565696,0.004214435807992804,0.05579349527018454,0.0,0.0,0.01653046909919631,,0.0038000676401811887,,78.12516235713375,,,0.00011277486466293625,8.07528722673324e-05
0.3717114540721533,0.3717114540721533,0.3629994710215344,0.004077375427473729,0.03495975075070842,0.0,0.0,-0.032521643883894225,,0.003833147752734812,,71.87503207035982,,,0.00011288386429602042,8.73651908962786e-05
0.3659034379284778,0.3775192428391159,0.3600952696044265,0.004145902101417036,0.05431322515613325,0.0,0.0,0.016806564703747418,,0.0038695800199387994,,70.9676500957232,,,0.00011580685461468152,9.318456427894778e-05
0.36880725622177124,0.37025969710588236,0.3629996196351844,0.004145902101417036,0.0433338502530557,0.0,0.0,0.0,,0.0039010985689161537,,67.8570970422256,,,0.00011662372255555288,9.795839359803917e-05
0.3688070942406318,0.3688070942406318,0.3571912944316864,0.003871793295854067,0.04588837353558992,0.0,0.0,-0.06611560014147,,0.0038978176447634683,,67.85694781692402,,,9.824922035750775e-05,9.801740945811025e-05
0.3571912738018682,0.36299943923950195,0.35138310836423453,0.004008851566583404,0.04756319343605938,0.0,0.0,0.035399170424748494,,0.003910044233128886,,67.85717165482701,0.004530825572688406,0.002972917941523448,9.183557978882564e-05,9.676662293748025e-05
0.36299943923950195,0.37461523837756916,0.36154753081439356,0.004008851566583404,0.055488982561008274,0.0,0.0,0.0,,0.003920764980971617,,60.86965639590504,0.0044992754535722,0.0031072589154705127,8.577953769619336e-05,9.454874961847103e-05
0.3629994602047745,0.36590327722270316,0.3542874774137578,0.003871793295854067,0.03605092129192337,0.0,0.0,-0.03418891132608004,,0.003915521030566665,,52.17374426585293,0.004457861601267059,0.00322405302335551,7.087543153501841e-05,8.977889065475196e-05
0.35719119161367413,0.35719119161367413,0.34557539514835295,0.0036662090544446677,0.029647695712855793,0.0,0.0,-0.05309793826791831,,0.003889136859123508,,41.66680919989255,0.004420934606056005,0.003302095530648277,4.450937733700526e-05,8.067122582730468e-05
0.3484794646937884,0.36880725622177124,0.345575646400495,0.004145902101417036,0.03718438526496835,0.0,0.0,0.13084170592804045,,0.003916025052685811,,53.33320790345091,0.00443540855206173,0.0033561486102174844,5.648350417110674e-05,7.581072844614221e-05
0.36880725622177124,0.37461542454582253,0.3659034379284778,0.004145902101417036,0.04512709176264926,0.0,0.0,0.0,,0.003939871457171625,,55.172466264754945,0.004378235948301746,0.003509258698150748,6.513086850965487e-05,7.366665638360877e-05
